case_id,case_group,file_type,difficulty,query_type,query,reference_answer,answer,should_abstain,abstained,generation_mode,citation_valid,expected_chunk_retrieved,expected_chunk_model_hit,expected_chunk_cited,semantic_similarity,reference_token_recall,numeric_fact_recall,grounded_claim_rate,automated_quality_flag,automated_review_reasons,wall_seconds,manual_correctness_0_2,manual_completeness_0_2,manual_groundedness_0_2,manual_citation_quality_0_2,manual_abstention_correct_0_1,manual_notes
formal_csv_finance_september,supported,csv,medium,multi_fact,"What was Finance's September 2025 budget performance, which expense categories were included, and who was responsible?","Finance had a budget and actual expenditure of AUD 450,000, so the variance was zero and the department was on budget. The categories were Finance salaries, Audit and tax, and Shared finance services. Priya Nair was the responsible manager.","Finance's September 2025 budget performance showed actual expenditure of AUD 450,000 against a total expense budget of AUD 450,000, resulting in an on-budget variance [1]. The included expense categories were Finance salaries, Audit and tax, and Shared finance services [1], with Priya Nair identified as the responsible manager [1].",False,False,ollama,True,True,True,True,0.8024,0.85,1.0,1.0,pass,,33.909,,,,,,
formal_csv_it_august,supported,csv,hard,numeric_comparison,"For Information Technology in August 2025, how far was actual expenditure below budget and below the pre-close forecast?","Actual expenditure was AUD 382,200 against a budget of AUD 390,000, producing a favourable variance of AUD 7,800 or 2.00%. It was also AUD 1,560 below the pre-close forecast of AUD 383,760.","In 2025-08, Information Technology had a total expense budget of AUD 390,000 and actual expenditure of AUD 382,200. [1] The total variance was -AUD 7,800 (-2.00%), classified as Favourable. [1] The pre-close forecast was AUD 383,760, and the actual-versus-forecast variance was -AUD 1,560. [1] The included categories were Software and licences, Infrastructure, Technology projects. [1] The responsible manager was Ethan Brooks. [1]",False,False,context_extractive_fallback,True,True,True,True,0.7662,0.8095,0.7143,0.8,review,At least one reference numeric fact requires review. | At least one cited claim requires grounding review.,55.578,,,,,,
formal_csv_marketing_january,supported,csv,medium,numeric_comparison,How did January 2026 Marketing expenditure compare with both budget and the pre-close forecast?,"Marketing budget, actual expenditure and the pre-close forecast were all AUD 500,000. Both the budget variance and the actual-versus-forecast variance were zero.","In January 2026, Marketing expenditure of AUD 500,000 matched both the budget and pre-close forecast at AUD 500,000 each [1]. The total variance was classified as On budget with a difference of AUD 0 from the budget [1], while actuals also equaled the pre-close forecast resulting in an AUD 0 variance against it [1].",False,False,ollama,True,True,True,True,0.9111,0.7143,1.0,1.0,pass,,22.719,,,,,,
formal_csv_people_culture_july,supported,csv,easy,numeric_lookup,"Was People & Culture on budget in July 2025, and what were its budget, actual expenditure and responsible manager?","People & Culture was on budget. Both budget and actual expenditure were AUD 480,000, and the responsible manager was Grace Lee.","People & Culture was on budget in July 2025 with an expense budget of AUD 480,000 and actual expenditure of AUD 480,000 [1]. The responsible manager for this department summary is Grace Lee [1].",False,False,ollama,True,True,True,True,0.8059,0.9231,1.0,1.0,pass,,20.529,,,,,,
formal_csv_retail_operations_october,supported,csv,medium,multi_fact,"Summarise October 2025 Retail Operations expenditure, including budget, actual, total variance, forecast variance and included categories.","Retail Operations had a budget of AUD 2,200,000 and actual expenditure of AUD 2,233,000. The total variance was AUD 33,000 or 1.50% unfavourable. The pre-close forecast was AUD 2,226,400, so actual expenditure was AUD 6,600 above forecast. The categories were Store labour, Occupancy, and Repairs and maintenance.","In October 2025, Retail Operations had an expense budget of AUD 2,200,000 and actual expenditure of AUD 2,233,000 [1]. The total variance was AUD 33,000 (1.50%), classified as Unfavourable [1], while the actual-versus-forecast variance was AUD 6,600 based on a pre-close forecast of AUD 2,226,400 [1]. Included categories were Store labour, Occupancy, Repairs and maintenance [1], with James Carter identified as the responsible manager [1].",False,False,ollama,True,True,True,True,0.887,0.9231,1.0,1.0,pass,,29.051,,,,,,
formal_csv_supply_chain_december,supported,csv,hard,numeric_comparison,"How did December 2025 Supply Chain expenditure compare with budget and the pre-close forecast, and who was responsible?","Supply Chain had a budget of AUD 1,420,000 and actual expenditure of AUD 1,505,200, an unfavourable variance of AUD 85,200 or 6.00%. Actual expenditure was AUD 17,040 above the pre-close forecast of AUD 1,488,160. Liam O'Connor was the responsible manager.","In December 2025, Supply Chain expenditure of AUD 1,505,200 was above its budget of AUD 1,420,000 by an unfavourable variance of AUD 85,200 [1]. The actual spending exceeded the pre-close forecast of AUD 1,488,160 with a positive (unfavourable) variance of AUD 17,040 [1]. Liam O'Connor was identified as the responsible manager for this expenditure [1].",False,False,ollama_repair,True,True,True,True,0.9459,0.96,0.7143,1.0,review,At least one reference numeric fact requires review.,59.198,,,,,,
formal_docx_accrual_policy,supported,docx,medium,policy_lookup,"When must an accrual be recognised, what is the minimum individual threshold, and how must it be supported and subsequently reviewed?","An accrual is required when goods or services have been received but the supplier invoice has not been recorded. The minimum individual threshold is AUD 5,000. It must be supported by a purchase order, contract, supplier estimate or another reasonable calculation, reviewed monthly and reversed when the related invoice is recorded.","An accrual must be recognised when goods or services have been received but the supplier invoice has not been recorded [1]. The minimum individual threshold for an accrual is AUD 5,000 per item [2]. Accruals must be supported by a purchase order, contract, supplier estimate, or other reasonable calculation and reviewed each month to ensure they are reversed when the related invoice is recorded [1].",False,False,ollama,True,True,True,True,0.9537,0.8929,1.0,1.0,pass,,28.993,,,,,,
formal_docx_capex_approval_300k,supported,docx,hard,policy_application,"A capital expenditure project is expected to cost AUD 300,000. Who must approve it, and what supporting documentation is required?","It requires approval from the Finance Director, Chief Executive Officer and Board of Directors. A documented business case is also required, covering expected benefits, implementation cost, timing, risks and financial return.","A capital expenditure project costing AUD 300,000 requires approval from the Finance Director, Chief Executive Officer, and Board of Directors [1]. Supporting documentation must include a documented business case containing expected benefits, implementation cost, timing, risks, and financial return [1].",False,False,ollama,True,True,True,True,0.5576,0.8571,,0.5,review,Answer/reference semantic similarity is below the review threshold. | At least one cited claim requires grounding review.,21.679,,,,,,
formal_docx_forecast_commentary_threshold,supported,docx,medium,policy_lookup,"Who is responsible for departmental forecast completeness, when is written commentary required, and what role does the Head of FP&A perform?","Department Directors are responsible for the completeness and reasonableness of their forecasts. Written commentary is required for material forecast movements above AUD 100,000. The Head of FP&A consolidates and challenges departmental submissions before executive review.","Department Directors are responsible for the completeness and reasonableness of their forecasts [1]. Written commentary is required when material forecast movements exceed AUD 100,000 regarding revenue, expenditure, headcount, or capital expenditure [1]. The Head of FP&A consolidates departmental submissions and challenges them before executive review [1].",False,False,ollama,True,True,True,True,0.9409,0.96,1.0,1.0,pass,,21.873,,,,,,
formal_docx_manual_journal_controls,supported,docx,medium,control_lookup,"What documentation and segregation-of-duties controls apply to manual journals, and when is Financial Controller approval required?","Every manual journal must include a clear description, calculation and supporting documentation. The preparer and approver must be different people, and preparers cannot approve their own journals. Journals above AUD 100,000 require Financial Controller approval.","Manual journals must include a clear description, calculation, and supporting documentation [1]. The preparer and approver must be different people, with no journal preparer allowed to approve their own work [1]. Financial Controller approval is required for manual journals above AUD 100,000 [3], as the policy owner Priya Nair oversees this control area [2].",False,False,ollama,True,True,True,True,0.9566,0.8462,1.0,1.0,pass,,34.027,,,,,,
formal_docx_purchase_order_requirements,supported,docx,hard,policy_application,"When is a purchase order required, what anti-avoidance rule applies, and which types of expenditure are exempt?","A purchase order must be approved before committing the company to goods or services above AUD 5,000. Purchases may not be divided into smaller amounts to avoid the threshold. Exemptions include payroll, taxes, rent, regulated utilities and emergency expenditure approved by the Finance Director.","A purchase order is required before committing Harbour Retail Group to goods or services above AUD 5,000 [1]. The anti-avoidance rule prohibits splitting purchases into smaller amounts to avoid this threshold [1]. Exempt expenditure types include payroll, taxes, rent, regulated utilities, and emergency expenditure approved by the Finance Director [1].",False,False,ollama,True,True,True,True,0.8331,0.8276,1.0,1.0,pass,,25.133,,,,,,
formal_docx_reconciliation_timetable,supported,docx,medium,multi_fact,"When must balance-sheet reconciliations be prepared and reviewed, and what is required for reconciling items older than 60 days?",Preparers must complete reconciliations by business day 7 and reviewers by business day 10. Reconciling items older than 60 days must have an owner and a documented resolution date.,"Balance sheet reconciliations must be prepared by business day 7, reviewed by business day 10, and are required to include an owner and documented resolution date for any items older than 60 days [1].",False,False,ollama,True,True,True,True,0.7222,0.7778,1.0,1.0,pass,,19.768,,,,,,
formal_json_adjusted_ebitda,supported,json,medium,definition,"How is Adjusted EBITDA defined and calculated, and what is its FY2025/26 target?","Adjusted EBITDA is earnings before interest, tax, depreciation and amortisation, adjusted for approved non-recurring items. It is calculated as operating profit plus depreciation, amortisation and approved adjustments. Its target is at least AUD 12.2 million.","Adjusted EBITDA is defined as earnings before interest, tax, depreciation and amortisation adjusted for approved non-recurring items [1]. It is calculated by adding operating profit to depreciation, amortisation, and approved adjustments [1]. The FY2025/26 target for Adjusted EBITDA is a value of 12,200,000 AUD where the operator must be greater than or equal to this amount [1].",False,False,ollama,True,True,True,True,0.9089,0.8095,1.0,1.0,pass,,23.242,,,,,,
formal_json_average_transaction_value,supported,json,medium,kpi_lookup,"What does average transaction value measure, how is it calculated, and what target must it achieve?","Average transaction value measures the average revenue generated by each completed customer transaction. It is calculated as revenue divided by the number of completed transactions, and its target is at least AUD 84 per transaction.",Average transaction value measures average revenue generated by each completed customer transaction [1]. It is calculated as Revenue divided by the number of completed transactions [1]. The target for this KPI in period FY2025/26 requires a value greater than or equal to 84 AUD per transaction [1].,False,False,ollama,True,True,True,True,0.8762,0.9444,1.0,1.0,pass,,19.443,,,,,,
formal_json_capex_utilisation,supported,json,hard,multi_fact,"How is capital expenditure utilisation calculated, what target range applies, and who owns the KPI?","Capital expenditure utilisation is calculated as capital expenditure incurred plus committed expenditure, divided by the approved capital budget. Its FY2025/26 target range is 90% to 100%, and the KPI is owned by Olivia Bennett, Finance Director.","Capital expenditure utilisation is calculated as (Capital expenditure incurred + committed expenditure) / approved capital budget [1]. The target range for this KPI during period FY2025/26 requires an operator between a minimum of 0.9 and a maximum of 1.0, meaning the result should fall within these bounds to be considered on track [1]. Olivia Bennett, Finance Director, owns this Investment category KPI [1].",False,False,ollama,True,True,True,True,0.8946,0.75,1.0,0.6667,review,At least one cited claim requires grounding review.,22.525,,,,,,
formal_json_inventory_days,supported,json,medium,kpi_lookup,"How are inventory days calculated, what is the FY2025/26 target, and which systems provide the data?","Inventory days equal average inventory divided by annualised cost of goods sold, multiplied by 365. The target is no more than 92 days. The data comes from the ERP inventory and general ledger modules.",Inventory days are calculated by dividing average inventory by annualised cost of goods sold and multiplying by 365 [1]. The FY2025/26 target is for inventory days to be less than or equal to 92 days [1]. Data for this KPI comes from the ERP inventory and general ledger modules [1].,False,False,ollama,True,True,True,True,0.7863,0.8182,1.0,1.0,pass,,20.482,,,,,,
formal_json_net_working_capital,supported,json,hard,multi_fact,"How is net working capital calculated, what limit applies, and why does the KPI not have a universally higher-or-lower preferred direction?",Net working capital is calculated as trade receivables plus inventory minus trade payables. Its FY2025/26 target is no more than AUD 18.5 million. Its preferred direction is context dependent because both excessively high and excessively low working capital can indicate different operational or liquidity issues.,"Net working capital is calculated as trade receivables plus inventory minus trade payables [1]. The limit for this KPI in period FY2025/26 requires an operator value of less than or equal to 18,500,000 AUD [1]. The preferred direction (higher or lower) is context dependent because the source explicitly states ""Context dependent"" without providing specific operational reasons [1].",False,False,ollama,True,True,True,True,0.763,0.5758,1.0,0.6667,review,At least one cited claim requires grounding review.,22.533,,,,,,
formal_json_online_conversion_rate,supported,json,easy,kpi_lookup,"How is online conversion rate calculated, how frequently is it measured, and what is its target?",Online conversion rate is calculated as completed online orders divided by website sessions. It is measured weekly and has a target of at least 3.2%.,"Online conversion rate is calculated by dividing completed online orders by website sessions [1]. It is measured weekly and has an owner of Mia Thompson, E-commerce Director [1]. The target for this KPI during period FY2025/26 is a value greater than or equal to 3.2% (represented as 0.032 in the source) [1].",False,False,ollama,True,True,True,True,0.8338,0.8571,1.0,1.0,pass,,21.231,,,,,,
formal_markdown_closing_priorities,supported,markdown,medium,multi_fact,What four immediate priorities did management agree before the executive review?,"Management agreed to protect gross margin, control discretionary expenditure, reduce slow-moving inventory and refresh the Q4 forecast.","The four immediate priorities management agreed upon before the executive review are protecting gross margin, controlling discretionary expenditure, reducing slow-moving inventory, and refreshing the Q4 forecast [1].",False,False,ollama,True,True,True,True,0.7086,0.7143,,1.0,review,Answer/reference semantic similarity is below the review threshold.,15.422,,,,,,
formal_markdown_ecommerce_performance,supported,markdown,medium,performance_explanation,"How strongly did E-commerce sales grow, what concern accompanied that growth, and who led the discussion?","E-commerce sales grew by 14.8%, but paid acquisition costs increased faster than online conversion. The discussion was led by Mia Thompson, E-commerce Director.","E-commerce sales grew by 14.8% [1], but this growth was accompanied by a concern that paid acquisition costs increased faster than online conversion [1]. The discussion on E-commerce performance was led by Mia Thompson, the E-commerce Director [1].",False,False,ollama,True,True,True,True,0.9483,1.0,1.0,1.0,pass,,19.024,,,,,,
formal_markdown_forecast_action_deadlines,supported,markdown,hard,multi_fact,"Who was responsible for refreshing the IT implementation business case and for issuing the updated Q4 forecast, and what were their respective deadlines?","Ethan Brooks was responsible for refreshing the IT implementation business case, timeline and cash-flow profile by 24 April 2026. Daniel Wu was responsible for consolidating departmental savings and issuing the updated Q4 forecast by 27 April 2026.",Ethan Brooks was responsible for refreshing the IT implementation business case with a deadline of 2026-04-24 [1]. Daniel Wu was responsible for issuing the updated Q4 forecast with a deadline of 2026-04-27 [1].,False,False,ollama,True,True,True,True,0.8905,0.5652,1.0,1.0,pass,,24.05,,,,,,
formal_markdown_freight_forecast_decision,supported,markdown,medium,decision_lookup,"What change was agreed for the Q4 freight forecast, and who owned the decision?","The Q4 freight forecast would be updated using current surcharge rates and revised shipment assumptions. The decision was owned by Liam O'Connor, Supply Chain Director.","The Q4 freight forecast was agreed to be updated using current surcharge rates and revised shipment assumptions, with Liam O'Connor as the owner of this decision [3].",False,False,ollama,True,True,True,True,0.9648,0.7368,,1.0,pass,,31.565,,,,,,
formal_markdown_headcount_assumption,supported,markdown,easy,decision_lookup,"What was agreed regarding non-critical recruitment, and who led the discussion?","Non-critical recruitment would be deferred until the Q4 forecast refresh confirmed sufficient funding. The discussion was led by Grace Lee, People & Culture Director.","Non-critical recruitment was agreed to be deferred until the Q4 forecast refresh confirms sufficient funding, and the discussion was led by Grace Lee [1].",False,False,ollama,True,True,True,True,0.9374,0.7222,,1.0,pass,,15.584,,,,,,
formal_markdown_it_expenditure,supported,markdown,easy,direct_fact,"How did March Information Technology expenditure perform against budget, and what caused the variance?","March Information Technology expenditure was AUD 45,000 below budget because a planned vendor implementation milestone was delayed.","March Information Technology expenditure performed unfavourably at AUD 45,000 below budget due to a delayed vendor implementation milestone [1]. The discussion on this variance was led by Ethan Brooks, the Information Technology Director [1].",False,False,ollama,True,True,True,True,0.8267,0.8667,1.0,1.0,pass,,17.454,,,,,,
formal_pdf_channel_growth_comparison,supported,pdf,medium,comparison,Compare physical-store and E-commerce sales growth for the nine-month period and explain the main concern about E-commerce performance.,"Physical-store sales grew by 1.9%, while E-commerce sales grew by 14.8% and was the strongest-performing channel. The concern was that paid digital acquisition costs increased faster than online conversion, reducing the incremental return from Marketing investment.","Physical-store sales grew by 1.9% for the nine-month period, while E-commerce sales grew at 14.8%, making it the strongest-performing channel [1]. The main concern regarding E-commerce performance is that paid digital acquisition costs increased faster than online conversion, which reduced the incremental return from part of the Marketing investment [1].",False,False,ollama,True,True,True,True,0.9718,0.9583,1.0,1.0,pass,,24.333,,,,,,
formal_pdf_expense_variance_convention,supported,pdf,easy,definition,"How is expense variance calculated, and why is a positive expense variance classified as unfavourable?",Expense variance equals actual expense less budget. A positive value is unfavourable because it means actual expenditure exceeded budget.,"Expense variance is calculated by subtracting budget from actual expense [1]. A positive value in this calculation indicates that actual expenditure was above budget, which classifies as unfavourable because it represents overspending relative to the planned amount [1].",False,False,ollama,True,True,True,True,0.8827,0.6923,,1.0,pass,,22.633,,,,,,
formal_pdf_high_severity_risk,supported,pdf,easy,direct_fact,"Which principal business risk was rated High, what financial impact could it have, and who owned it?","The High-severity risk was that international freight costs might remain above budget during Q4. It could pressure gross margin and distribution expenses, and it was owned by Liam O'Connor.","The principal business risk rated High was supply chain, specifically that international freight costs may remain above budget during Q4 [1]. This risk could have an unfavourable financial impact by putting pressure on gross margin and distribution expenses [1], with Liam O'Connor identified as the owner of this high-severity risk [1].",False,False,ollama,True,True,True,True,0.8654,0.9,,1.0,pass,,23.585,,,,,,
formal_pdf_march_opex_drivers,supported,pdf,medium,aggregation,"How far above budget was March operating expenditure, and which two departments accounted for most of the unfavourable variance?","March operating expenditure was AUD 393,000 above budget. Marketing contributed AUD 185,000 and Supply Chain AUD 150,000 of the unfavourable variance, a combined AUD 335,000.","March operating expenditure was AUD 393,000 above budget [1]. The two departments that accounted for most of the unfavourable variance were Marketing with an excess of AUD 185,000 and Supply Chain with an excess of AUD 150,000 [2].",False,False,ollama,True,True,True,True,0.9571,0.8333,0.75,1.0,review,At least one reference numeric fact requires review.,33.941,,,,,,
formal_pdf_q4_forecast_assumptions,supported,pdf,hard,multi_fact,"What assumptions were included in the updated Q4 forecast regarding freight, unplanned Marketing campaigns, recruitment and the delayed IT implementation?",The logistics forecast uses current surcharge rates and revised shipment assumptions. No additional unplanned Marketing campaigns are assumed without Finance Director approval. Non-critical recruitment remains paused until the Q4 forecast refresh is approved. The delayed IT implementation remains in the forecast with updated timing and cash-flow assumptions.,The Q4 freight assumption uses current surcharge rates and revised shipment assumptions [1]. No additional unplanned Marketing campaigns are assumed without Finance Director approval [1]. Non-critical recruitment remains paused until the Q4 forecast refresh has been approved [1]. The delayed IT implementation is included with updated timing and cash-flow assumptions [1].,False,False,ollama,True,True,True,True,0.8758,0.9677,,1.0,pass,,20.573,,,,,,
formal_pdf_q4_priorities_and_owners,supported,pdf,hard,multi_fact,"Which four Q4 priorities were agreed, and who owns the priority to recover gross margin?","The priorities were to recover gross margin through tighter promotional controls and supplier negotiations; reduce slow-moving inventory and improve working capital; reallocate Marketing spend toward channels with measurable conversion; and complete the Q4 forecast refresh while identifying actions to protect Adjusted EBITDA. Gross-margin recovery is owned by Olivia Bennett, James Carter and Liam O'Connor.","The four Q4 priorities agreed were to recover gross margin through tighter promotional controls and supplier negotiations, reduce slow-moving inventory and improve working capital, reallocate marketing spend toward channels with measurable conversion, and complete the Q4 forecast refresh to identify actions protecting Adjusted EBITDA [1]. The priority to recover gross margin is owned by Olivia Bennett, James Carter, and Liam O'Connor [1].",False,False,ollama,True,True,True,True,0.8751,0.881,,1.0,pass,,25.947,,,,,,
unsupported_finance_carbon_emissions_target,unsupported,,medium,missing_kpi,What was Harbour Retail Group's carbon emissions reduction target for FY2025/26?,,I do not have enough information in the retrieved finance sources to answer this question.,True,True,retrieval_abstention,True,,,,,,,,pass,,0.011,,,,,,
unsupported_finance_credit_rating,unsupported,,medium,missing_fact,"What external credit rating did Harbour Retail Group receive, and which agency issued it?",,I do not have enough information in the retrieved finance sources to answer this question.,True,True,retrieval_abstention,True,,,,,,,,pass,,0.01,,,,,,
unsupported_finance_debt_covenant,unsupported,,hard,missing_policy,What maximum net-debt-to-EBITDA covenant applied to Harbour Retail Group's bank facilities?,,I do not have enough information in the retrieved finance sources to answer this question.,True,True,retrieval_abstention,True,,,,,,,,pass,,0.012,,,,,,
unsupported_finance_dividend_policy,unsupported,,medium,missing_policy,What dividend payout ratio did Harbour Retail Group's policy require?,,I do not have enough information in the retrieved finance sources to answer this question.,True,True,retrieval_abstention,True,,,,,,,,pass,,0.013,,,,,,
unsupported_finance_effective_tax_rate,unsupported,,hard,missing_metric,What effective corporate tax rate was forecast for Harbour Retail Group for FY2025/26?,,I do not have enough information in the retrieved finance sources to answer this question.,True,True,retrieval_abstention,True,,,,,,,,pass,,0.021,,,,,,
unsupported_general_astronomy,unsupported,,easy,out_of_domain,Which planet in the Solar System has the shortest year?,,I do not have enough information in the retrieved finance sources to answer this question.,True,True,retrieval_abstention,True,,,,,,,,pass,,0.009,,,,,,
unsupported_general_medical,unsupported,,hard,out_of_domain,What dosage of amoxicillin should an adult take for a bacterial infection?,,I do not have enough information in the retrieved finance sources to answer this question.,True,True,retrieval_abstention,True,,,,,,,,pass,,0.01,,,,,,
unsupported_general_recipe,unsupported,,easy,out_of_domain,Which ingredients are needed to make a traditional paella?,,I do not have enough information in the retrieved finance sources to answer this question.,True,True,retrieval_abstention,True,,,,,,,,pass,,0.009,,,,,,
unsupported_general_sports,unsupported,,medium,out_of_domain,Who won the most recent UEFA Champions League final and what was the score?,,I do not have enough information in the retrieved finance sources to answer this question.,True,True,retrieval_abstention,True,,,,,,,,pass,,0.01,,,,,,
unsupported_general_weather,unsupported,,easy,out_of_domain,What will the weather be in Sydney tomorrow?,,I do not have enough information in the retrieved finance sources to answer this question.,True,True,retrieval_abstention,True,,,,,,,,pass,,0.009,,,,,,
